thickness_um,mean_exit_energy_MeV,sem_energy_MeV,sys_err_MeV,total_err_MeV
25,17.975275215646935,0.000709405658505921,0.0998242627883652,0.09982678346831032
50,17.828749809428285,0.0010725992875508504,0.09944674523570818,0.09945252941583488
75,17.684031093279838,0.0012249481081283244,0.09912955867603124,0.09913712675467413
100,17.536571374122367,0.0014350272219979098,0.10094972417251924,0.10095992330442605
125,17.39199002006018,0.0016318650734425426,0.10290556670010176,0.10291850485450618
150,17.23930254764293,0.0018196441454813323,0.10207170511534613,0.10208792333067786
175,17.08597415245737,0.001971141618856587,0.10547432798395207,0.10549274507257778
200,16.940333580742227,0.0020804517238792136,0.10296161484453492,0.10298263159761332
225,16.78518567703109,0.002215068866625653,0.10502849047141538,0.10505184596563777
250,16.628493540621864,0.002376111869297856,0.10464073219658943,0.10466770630071992
275,16.476503741223674,0.0024843546337334653,0.10601232196589727,0.10604142787867023
300,16.32021380140421,0.0026072338319481072,0.10700746238716263,0.10703922026432405
325,16.16234299899699,0.0027292796350334926,0.10662922266800479,0.10666414624469253
350,16.006738415245735,0.0028889727198727153,0.10972048645937793,0.10975851362085177
375,15.84699626880642,0.002948340694069108,0.11044383149448311,0.11048317803190712
400,15.68585183550652,0.0030539464374435797,0.10864477933801453,0.10868769326031648
425,15.524499548645936,0.0032272550768275635,0.1127282597793382,0.11277444625538566
450,15.354601785356069,0.0032460780161854322,0.11418534102306754,0.11423147170128464
475,15.197486399197592,0.0034713021481768812,0.11399907221664929,0.11405191100924507
500,15.03452150451354,0.003568118529503927,0.11387406218655993,0.11392995000748972
525,14.861101544633902,0.0035914924497654336,0.11301992477432243,0.11307697472965142
550,14.693615917753261,0.003797534339422648,0.11676065697091342,0.11682239632595459
575,14.519878607467206,0.004021785061519471,0.11611483433271896,0.11618446327799527
600,14.34723873312565,0.004125802478123597,0.11600823078390299,0.11608157414378815
625,14.171385839572194,0.004630606155146245,0.120526573225062,0.12061549389170659
650,13.980231317121108,0.016212878501049077,0.13433378663566042,0.13530862375016944
675,13.816341235955056,0.00451162713166607,0.12326359341878046,0.12334613184808677
700,13.65092820023838,0.004570626755987074,0.1250035231728841,0.1250870554237181
725,13.461463285024154,0.004953151545289121,0.12274022422618724,0.12284012517628481
750,13.27456166032953,0.004982095391968897,0.13056499597042492,0.13066001472237693
775,13.098491841059602,0.005273461424805914,0.13240181679721452,0.13250679411487576
800,12.903005255376346,0.005470340756942043,0.13133347383067928,0.1314473505873389
825,12.715745587431696,0.005351791366044294,0.12101905869767293,0.12113733627126062
850,12.528326676056336,0.0058869204131603466,0.12368568367206123,0.12382570079501298
875,12.339071244635193,0.006014292946421367,0.13176084870471438,0.1318980400575839
900,12.142734197530865,0.006415073951563673,0.13625136830125317,0.13640230400461634
925,11.94492032967033,0.006894960280860452,0.1469562295138207,0.1471178910608543
950,11.745765665024631,0.007532686468186363,0.1451205170041856,0.14531588289306205
975,11.528453876221498,0.007367194300699679,0.15009995041799673,0.1502806396957018
1000,11.328585777027028,0.007726948233507195,0.15433939663174367,0.1545326990693361
1025,11.128007286689419,0.008021786204219363,0.1536062340086808,0.15381555246539866
1050,10.909384991212654,0.007738857590509484,0.14922008061434955,0.1494206223228881
1075,10.696147005545287,0.008201640318437384,0.14514729612032706,0.14537883090379744
1100,10.475293561403507,0.00896632049685551,0.14678983723196826,0.14706342583334603
1125,10.247790213740457,0.009802980996356235,0.14296267726396916,0.14329837935893316
1150,10.013194826429979,0.009385406379819885,0.14859448770041972,0.1488905894536809
1175,9.774160470264766,0.02213137280215018,0.14753483361720665,0.1491855381481885
1200,9.5591794697286,0.010210078843091396,0.1682803379525648,0.16858979165836693
1225,9.311447452991453,0.010702848227298903,0.16034941591055052,0.16070621065481977
1250,9.061213422319474,0.011310659039848833,0.17593506564551475,0.17629826525410652
1275,8.800581670454546,0.011063071967673064,0.1821735478822557,0.18250915897392775
1300,8.56314497902098,0.011214543585046094,0.17799270374489584,0.17834564355273486
1325,8.32029487,0.01315356894466671,0.18436675150092707,0.18483537387358162
1350,8.060936005141388,0.012708351492928207,0.18248767331235083,0.18292963977612567
1375,7.73344976984127,0.013712453726492255,0.2097144718573256,0.2101622970315994
1400,7.469443882499999,0.013763967892606168,0.19900873607969105,0.1994841443528403
1425,7.178216335978835,0.014743593126215924,0.19969613410114162,0.2002396551964983
1450,6.85444536827957,0.015252105868209456,0.20500729676845042,0.20557387592231308
1475,6.575593284946237,0.019478521945562263,0.22387757133755404,0.22472334049934678
1500,6.259513534883721,0.016734664609115865,0.2289002628111696,0.22951117470528992
1525,5.888846683431953,0.01818322589355929,0.22107734234234222,0.22182385128982274
1550,5.589844168639053,0.01933987246424029,0.23788165103176562,0.23866652585675227
1575,5.216987621118013,0.021338045723007067,0.27292255124223574,0.27375542217798704
1600,4.8201642677419345,0.02223890024451494,0.2532854870242578,0.254259919415548
1625,4.38076770967742,0.024077401690363032,0.31792444342957493,0.3188348679209413
1650,3.980785791808874,0.02726189349541978,0.3326345551389376,0.3337498436096031
1675,3.4807632730496456,0.0320851214405049,0.32829431240598717,0.3298584705233016
1700,2.87024634501845,0.03654659212551122,0.4223220095374973,0.42390038114606415
1725,2.287893696358819,0.047316463019953826,0.45722300881631306,0.4596647990261609
1750,1.656106636457946,0.05082925895779623,0.3507096937308968,0.3543739590362392
1775,1.1698730824846153,0.05438547252602721,0.25631817268682755,0.26202439823686957
1800,1.0071819796250001,0.09337179014587178,0.18968343623626377,0.2114192450498333
1825,1.0437488428571429,0.27400565304872976,0.383266723125,0.4711395535906917
