============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(18.1 MeV) ==> Layer 1( 1.51 mm) ========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   54  1 .6302748E+07   1513000E+01  .1670E+06 -.1091E+06   .9997896  .0164270 -.0122845
T   55  1 .6604510E+07   1513000E+01 -.9973E+05 -.3077E+06   .9987776  .0459846 -.0181331
T   56  1 .6274338E+07   1513000E+01 -.2119E+06 -.2385E+06   .9983496 -.0563620 -.0110159
T   57  1 .6341271E+07   1513000E+01  .1209E+07  .6232E+06   .9932638  .0887642  .0744850
T   58  1 .5911810E+07   1513000E+01 -.5991E+06  .1203E+06   .9977268 -.0670908  .0063222
T   59  1 .6209013E+07   1513000E+01 -.4398E+06 -.4174E+05   .9832816 -.1010216 -.1514991
T   60  1 .6377464E+07   1513000E+01  .4236E+06 -.7684E+05   .9983912  .0066169  .0563141
T   61  1 .6209508E+07   1513000E+01 -.1342E+05 -.2989E+06   .9987047  .0188077 -.0472784
T   62  1 .6266997E+07   1513000E+01 -.1560E+06  .1470E+06   .9978357 -.0335446  .0565572
T   63  1 .5912542E+07   1513000E+01  .3236E+06 -.1195E+05   .9984680  .0100020 -.0544203
T   64  1 .5715998E+07   1513000E+01 -.2639E+06  .4825E+06   .9914359 -.0986053  .0856267
T   65  1 .5530450E+07   1513000E+01 -.5302E+06 -.5426E+04   .9924528 -.1214774 -.0167511
