============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(18.1 MeV) ==> Layer 1( 1.48 mm) ========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   55  1 .6444152E+07   1488000E+01 -.2619E+06 -.1958E+06   .9991812  .0234542 -.0329673
T   56  1 .7108262E+07   1488000E+01 -.1529E+06  .1853E+06   .9997914 -.0140513 -.0148223
T   57  1 .6442785E+07   1488000E+01  .2063E+06  .2978E+06   .9917895  .0575525  .1141988
T   58  1 .6598733E+07   1488000E+01  .1769E+06  .2668E+06   .9998379  .0170424 -.0058122
T   59  1 .6370904E+07   1488000E+01  .2108E+05  .4614E+06   .9969466 -.0522754  .0580063
T   60  1 .6368235E+07   1488000E+01 -.8084E+04  .1751E+06   .9964703 -.0158617  .0824345
T   61  1 .6317659E+07   1488000E+01  .2062E+05  .5282E+06   .9986694  .0442748  .0264415
T   62  1 .6481292E+07   1488000E+01 -.1286E+07 -.7016E+06   .9490862 -.2540791 -.1862236
T   63  1 .6751011E+07   1488000E+01  .2628E+06  .1687E+06   .9983230  .0439509 -.0376769
T   64  1 .6602592E+07   1488000E+01  .3129E+06  .1598E+06   .9931203  .1133522  .0293816
T   65  1 .6643567E+07   1488000E+01  .2118E+06 -.1552E+04   .9995532 -.0148356 -.0259472
T   66  1 .6407669E+07   1488000E+01  .6778E+05  .2221E+05   .9994661  .0018706  .0326208
T   67  1 .6269417E+07   1488000E+01  .1481E+06 -.2321E+06   .9994280  .0131108 -.0311750
T   68  1 .6110724E+07   1488000E+01 -.5946E+05 -.5383E+05   .9995848  .0279930 -.0068265
T   69  1 .6155199E+07   1488000E+01 -.2764E+06  .6785E+06   .9943417 -.0596371  .0879090
T   70  1 .6221296E+07   1488000E+01  .5238E+06  .2762E+06   .9978917  .0630938  .0152075
T   71  1 .6331791E+07   1488000E+01  .4804E+05 -.4544E+05   .9991901 -.0305587  .0261765
T   72  1 .6810108E+07   1488000E+01  .1354E+06  .5484E+04   .9998094  .0116725 -.0156528
T   73  1 .6872043E+07   1488000E+01  .5100E+06  .4321E+05   .9972648  .0492757 -.0550886
T   74  1 .6468531E+07   1488000E+01 -.1261E+06  .1397E+06   .9995687 -.0223866 -.0190046
T   75  1 .6015426E+07   1488000E+01  .8650E+04 -.1069E+06   .9990029  .0319419 -.0311922
T   76  1 .6254070E+07   1488000E+01 -.3871E+06  .3447E+06   .9979076 -.0498468  .0411793
T   77  1 .6427189E+07   1488000E+01 -.4948E+06 -.5740E+06   .9950392 -.0939000 -.0328590
T   78  1 .6613068E+07   1488000E+01  .4786E+06 -.4469E+06   .9945580  .0504405 -.0911599
T   79  1 .6710173E+07   1488000E+01 -.1433E+06  .4288E+06   .9965631 -.0480121  .0675044
T   80  1 .6109123E+07   1488000E+01  .1999E+06 -.1045E+06   .9965650 -.0119789  .0819432
T   81  1 .6036436E+07   1488000E+01 -.1257E+07 -.6747E+06   .9834284 -.1637023 -.0779109
T   82  1 .7059400E+07   1488000E+01 -.6594E+06 -.4153E+06   .9954391 -.0876336 -.0376999
T   83  1 .6402064E+07   1488000E+01  .6135E+05  .2533E+06   .9988354 -.0098205  .0472375
T   84  1 .6578299E+07   1488000E+01 -.2785E+06  .4065E+06   .9963909  .0096565  .0843320
T   85  1 .6013994E+07   1488000E+01 -.5038E+06 -.2622E+05   .9989014 -.0430760 -.0184503
T   86  1 .6674433E+07   1488000E+01  .1166E+06 -.3394E+06   .9956083  .0250677 -.0901985
T   87  1 .6848689E+07   1488000E+01 -.4134E+06 -.7467E+06   .9934455  .0583907 -.0982678
T   88  1 .6232274E+07   1488000E+01  .4834E+06 -.1682E+07   .9925693  .0221193 -.1196536
T   89  1 .6135634E+07   1488000E+01 -.1023E+06  .2458E+06   .9984386 -.0177143  .0529765
T   90  1 .6150682E+07   1488000E+01 -.2094E+06  .9707E+05   .9992178 -.0386388 -.0084106
T   91  1 .6713186E+07   1488000E+01 -.4600E+06 -.2976E+06   .9969819 -.0755155  .0180157
T   92  1 .6448351E+07   1488000E+01  .1085E+05  .4575E+05   .9999397 -.0020708  .0107812
T   93  1 .6508606E+07   1488000E+01  .7417E+05 -.9784E+05   .9996945 -.0010835 -.0246934
T   94  1 .6352668E+07   1488000E+01  .1259E+06 -.3755E+06   .9980358 -.0119716 -.0614919
T   95  1 .6579652E+07   1488000E+01  .3128E+06  .2036E+06   .9988670  .0412675  .0237023
T   96  1 .5773078E+07   1488000E+01  .1102E+07 -.7448E+06   .9912578  .1002713 -.0857531
T   97  1 .6284856E+07   1488000E+01  .1816E+06 -.2943E+05   .9981696  .0576227  .0183604
T   98  1 .6628675E+07   1488000E+01  .3733E+06  .5262E+06   .9977054  .0586007  .0339105
T   99  1 .6172276E+07   1488000E+01  .3452E+05  .4062E+06   .9935562 -.0150339  .1123393
T  100  1 .6495972E+07   1488000E+01 -.3495E+06  .4771E+05   .9995603 -.0050087  .0292269
T  101  1 .6351629E+07   1488000E+01  .2547E+06  .4394E+06   .9999839  .0054925 -.0014529
T  102  1 .6238651E+07   1488000E+01  .1025E+06 -.5340E+04   .9997399  .0213331  .0080626
T  103  1 .6559023E+07   1488000E+01 -.1751E+06  .8674E+05   .9997935  .0012831  .0202827
T  104  1 .6374790E+07   1488000E+01  .2672E+06  .2014E+06   .9939678  .1094121 -.0075467
T  105  1 .6383463E+07   1488000E+01 -.2258E+06 -.2369E+06   .9995066 -.0141393  .0280484
T  106  1 .5630602E+07   1488000E+01  .1977E+05 -.1088E+07   .9725994 -.0099172 -.2322758
T  107  1 .6532514E+07   1488000E+01  .7509E+05 -.1281E+06   .9893520  .0581113 -.1334379
T  108  1 .6861037E+07   1488000E+01  .4741E+06  .3188E+06   .9994213 -.0289643  .0178341
T  109  1 .6538008E+07   1488000E+01 -.9590E+05  .1241E+06   .9996951 -.0104458  .0223726
T  110  1 .6464556E+07   1488000E+01 -.1515E+06  .6519E+06   .9945103 -.0558032  .0885170
T  111  1 .6250393E+07   1488000E+01 -.6795E+04  .1585E+06   .9983391 -.0188273  .0544472
T  112  1 .6092346E+07   1488000E+01  .6622E+06  .9816E+06   .9814552  .1615800  .1031390
T  113  1 .6308176E+07   1488000E+01 -.1053E+07 -.1106E+06   .9715018 -.2337547 -.0392813
T  114  1 .6524477E+07   1488000E+01  .2758E+06 -.3404E+06   .9953456  .0906628 -.0326703
T  115  1 .5955937E+07   1488000E+01  .5310E+06 -.2407E+06   .9941399  .1073764  .0124929
T  116  1 .6338499E+07   1488000E+01 -.1504E+06 -.5032E+06   .9979584 -.0230205 -.0595736
T  117  1 .6408956E+07   1488000E+01  .8868E+04  .1696E+06   .9984580 -.0125542  .0540748
